 provider_id | claim_date | claims_today | running_claim_count | dollars_today | running_dollars | rolling_7day_avg_claims 
-------------+------------+--------------+---------------------+---------------+-----------------+-------------------------
 PRV51590    | 2009-01-08 |            1 |                   1 |       5000.00 |         5000.00 |                    1.00
 PRV51590    | 2009-01-11 |            1 |                   2 |      28000.00 |        33000.00 |                    1.00
 PRV51590    | 2009-01-12 |            1 |                   3 |       8000.00 |        41000.00 |                    1.00
 PRV51590    | 2009-01-20 |            2 |                   5 |      16000.00 |        57000.00 |                    1.25
 PRV51590    | 2009-02-02 |            1 |                   6 |       6000.00 |        63000.00 |                    1.20
 PRV51590    | 2009-02-06 |            1 |                   7 |       2000.00 |        65000.00 |                    1.17
 PRV51590    | 2009-02-07 |            1 |                   8 |       4000.00 |        69000.00 |                    1.14
 PRV51590    | 2009-02-08 |            2 |                  10 |       6300.00 |        75300.00 |                    1.29
 PRV51590    | 2009-02-13 |            1 |                  11 |       2000.00 |        77300.00 |                    1.29
 PRV51590    | 2009-02-17 |            1 |                  12 |      14000.00 |        91300.00 |                    1.29
 PRV51590    | 2009-02-21 |            1 |                  13 |       7000.00 |        98300.00 |                    1.14
 PRV51590    | 2009-02-28 |            1 |                  14 |       3000.00 |       101300.00 |                    1.14
 PRV51590    | 2009-03-08 |            1 |                  15 |       5000.00 |       106300.00 |                    1.14
 PRV51590    | 2009-03-12 |            1 |                  16 |      21000.00 |       127300.00 |                    1.14
 PRV51590    | 2009-03-14 |            1 |                  17 |       7000.00 |       134300.00 |                    1.00
 PRV51590    | 2009-03-17 |            2 |                  19 |      20000.00 |       154300.00 |                    1.14
 PRV51590    | 2009-03-21 |            1 |                  20 |       9000.00 |       163300.00 |                    1.14
 PRV51590    | 2009-03-26 |            2 |                  22 |       7000.00 |       170300.00 |                    1.29
 PRV51590    | 2009-03-29 |            1 |                  23 |      11000.00 |       181300.00 |                    1.29
 PRV51590    | 2009-04-02 |            1 |                  24 |      10000.00 |       191300.00 |                    1.29
 PRV51590    | 2009-04-04 |            2 |                  26 |      12000.00 |       203300.00 |                    1.43
 PRV51590    | 2009-04-09 |            1 |                  27 |       3000.00 |       206300.00 |                    1.43
 PRV51590    | 2009-04-13 |            1 |                  28 |       2000.00 |       208300.00 |                    1.29
 PRV51590    | 2009-04-22 |            1 |                  29 |      11000.00 |       219300.00 |                    1.29
 PRV51590    | 2009-04-26 |            1 |                  30 |       4000.00 |       223300.00 |                    1.14
 PRV51590    | 2009-04-27 |            1 |                  31 |       9000.00 |       232300.00 |                    1.14
 PRV51590    | 2009-04-28 |            1 |                  32 |         10.00 |       232310.00 |                    1.14
 PRV51590    | 2009-05-13 |            1 |                  33 |      27000.00 |       259310.00 |                    1.00
 PRV51590    | 2009-05-14 |            1 |                  34 |       2000.00 |       261310.00 |                    1.00
 PRV51590    | 2009-05-18 |            1 |                  35 |         70.00 |       261380.00 |                    1.00
 PRV51590    | 2009-05-21 |            1 |                  36 |      15000.00 |       276380.00 |                    1.00
 PRV51590    | 2009-05-29 |            1 |                  37 |       6000.00 |       282380.00 |                    1.00
 PRV51590    | 2009-06-06 |            1 |                  38 |      14000.00 |       296380.00 |                    1.00
 PRV51590    | 2009-06-11 |            1 |                  39 |          0.00 |       296380.00 |                    1.00
 PRV51590    | 2009-06-22 |            1 |                  40 |      10000.00 |       306380.00 |                    1.00
 PRV51590    | 2009-06-29 |            1 |                  41 |       7000.00 |       313380.00 |                    1.00
 PRV51590    | 2009-07-02 |            2 |                  43 |      28000.00 |       341380.00 |                    1.14
 PRV51590    | 2009-07-07 |            1 |                  44 |       3000.00 |       344380.00 |                    1.14
 PRV51590    | 2009-07-09 |            1 |                  45 |      10000.00 |       354380.00 |                    1.14
 PRV51590    | 2009-07-11 |            1 |                  46 |       6000.00 |       360380.00 |                    1.14
 PRV51590    | 2009-07-20 |            1 |                  47 |       4000.00 |       364380.00 |                    1.14
 PRV51590    | 2009-07-21 |            1 |                  48 |       8000.00 |       372380.00 |                    1.14
 PRV51590    | 2009-07-23 |            1 |                  49 |      21000.00 |       393380.00 |                    1.14
 PRV51590    | 2009-07-28 |            1 |                  50 |       4000.00 |       397380.00 |                    1.00
 PRV51590    | 2009-07-30 |            1 |                  51 |       3000.00 |       400380.00 |                    1.00
 PRV51590    | 2009-08-09 |            1 |                  52 |       3000.00 |       403380.00 |                    1.00
 PRV51590    | 2009-08-13 |            1 |                  53 |       8000.00 |       411380.00 |                    1.00
 PRV51590    | 2009-08-14 |            1 |                  54 |       2000.00 |       413380.00 |                    1.00
 PRV51590    | 2009-08-15 |            1 |                  55 |       2000.00 |       415380.00 |                    1.00
 PRV51590    | 2009-08-16 |            2 |                  57 |      18000.00 |       433380.00 |                    1.14
(50 rows)

